Chapter_Number,Section_Number,Hadith_number,English_Hadith,Hadith_Expalation
1.0,1.0,1.0,"Narrated Mughirah ibn Shu'bah: When the Prophet (ﷺ) went (outside) to relieve himself, he went to a far-off place.","The hadith narrated by Mughirah ibn Shu'bah emphasizes the Prophet Muhammad's (peace be upon him) adherence to proper hygiene and modesty. It highlights his practice of going to a secluded place when relieving himself, demonstrating his respect for personal privacy and avoiding any potential discomfort or embarrassment to others. This practice aligns with Islamic teachings that encourage cleanliness and modesty in all aspects of life."
1.0,1.0,2.0,"Narrated Jabir ibn Abdullah: When the Prophet (ﷺ) felt the need of relieving himself, he went far off where no one could see him.","The hadith narrated by Jabir ibn Abdullah further reinforces the Prophet Muhammad's (peace be upon him) commitment to modesty and personal hygiene. It emphasizes his practice of going to a secluded location when relieving himself, avoiding any unnecessary exposure or discomfort to others. This behavior is consistent with Islamic teachings that promote cleanliness and respect for personal privacy."
1.0,2.0,3.0,"Abu al-Tayyah reported on the authority of a shaykh (an old man): When Abdullah ibn Abbas came to Basrah, people narrated to him traditions from AbuMusa.Therefore Ibn Abbas wrote to him asking him about certain things.In reply AbuMusa wrote to him saying: One day I was in the company of the Messenger of Allah (ﷺ).He wanted to urinate.Then he came to a soft ground at the foot of a wall and urinated.He (the Prophet) then said: If any of you wants to urinate, he should look for a place (like this) for his urination.","This hadith describes a situation where the Prophet Muhammad (peace be upon him) sought a secluded, soft spot at the base of a wall to relieve himself. He then encouraged others to find similar suitable locations when necessary, emphasizing the importance of both privacy and potentially choosing softer ground for comfort."
1.0,3.0,4.0,"Anas b. Malik reported: When the Apostle of Allaah (sal Allahu alayhi wa sallam) entered the toilet, he used to say (before entering): ""O Allaah, I seek refuge in Thee."" This is according to the version of Hammad. 'Abd al-Warith has another version :""I seek refuge in Allaah from male and female devils.""","This hadith highlights the Prophet Muhammad's (peace be upon him) practice of seeking refuge in Allah (SWT) before entering the toilet, demonstrating his awareness of potential spiritual impurities and his reliance on divine protection. The different versions suggest variations in the specific wording of the supplication, both emphasizing the intent to seek refuge from harmful influences."
1.0,3.0,5.0,"Another tradition on the authority of Anas has: "" O Allaah, I seek refuge in Thee.""Shu'bah said: Anas sometimes reported the words: ""I take refuge in Allah.""","This hadith further reinforces the Prophet Muhammad's (peace be upon him) practice of seeking refuge in Allah (SWT) before entering the toilet. The variations in the specific wording of the supplication, as reported by different narrators, highlight the flexibility and personal preference in the choice of supplications. The underlying theme remains consistent: seeking divine protection and guidance in all aspects of life."
1.0,3.0,6.0,"Narrated Zayd ibn Arqam: The Messenger of Allah (ﷺ) said: These privies are frequented by the jinns and devils.So when anyone amongst you goes there, he should say: ""I seek refuge in Allah from male and female devils.""","This hadith explains the importance of saying a supplication for protection before entering the toilet. Prophet Muhammad (PBUH) warned that these places are frequented by jinn and devils. The supplication, ""I seek refuge in Allah from male and female devils,"" serves as a way to seek Allah's protection from any potential harm or spiritual impurity in these areas."
1.0,4.0,7.0,"Narrated Salman al-Farsi: It was said to Salman: Your Prophet teaches you everything, even about excrement. He replied: Yes. He has forbidden us to face the qiblah at the time of easing or urinating, and cleansing with right hand, and cleansing with less than three stones, or cleansing with dung or bone.","The hadith narrated by Salman al-Farsi highlights the Prophet Muhammad's (peace be upon him) guidance on matters of hygiene and etiquette, even those considered mundane. It outlines specific instructions regarding toilet practices, such as avoiding facing the Qiblah during urination or defecation, using the right hand for cleansing, using a minimum of three stones for cleansing, and avoiding the use of dung or bone for this purpose. These guidelines reflect the Prophet's emphasis on cleanliness, modesty, and respect for the sanctity of religious practices."
1.0,4.0,8.0,"Narrated Abu Hurairah: The Apostle of Allaah ( sal Allaahu alayhi wa sallam ) as saying: I am like father to you. When any of you goes to privy, he should not face or turn his back towards the qiblah. He should not cleanse with his right hand. He (the Prophet, sal Allaahu alayhi wa sallam) also commanded the Muslims to use three stones and forbade them to use dung or decayed bone.","The hadith narrated by Abu Hurairah reinforces the Prophet Muhammad's (peace be upon him) guidance on proper toilet etiquette. It emphasizes the importance of avoiding facing or turning away from the Qiblah during urination or defecation, using the left hand for cleansing, and using a minimum of three stones for cleansing while avoiding the use of dung or decayed bone. These guidelines reflect the Prophet's concern for cleanliness, modesty, and respect for religious practices."
1.0,4.0,9.0,"Narrated Abu Ayyub : That he (the Holy Prophet, sal Allahu alayhi wa sallam) said:""When you go to the privy, neither turn your face nor your back towards the qiblah at the time of excretion or urination, but turn towards the east or the west. (Abu Ayyub said): When we came to Syria, we found that the toilets already built there were facing the qiblah, We turned our faces away from them and begged pardon of Allaah.","The hadith narrated by Abu Ayyub further reinforces the Prophet Muhammad's (peace be upon him) guidance on toilet etiquette. It specifically instructs Muslims to avoid facing or turning away from the Qiblah during urination or defecation, instead turning towards the east or west. Abu Ayyub's experience in Syria highlights the importance of adhering to this guidance even in unfamiliar environments, as he and his companions adjusted their toilet practices to avoid facing the Qiblah. This demonstrates their commitment to following the Prophet's teachings and their understanding of the significance of respecting the Qiblah."
1.0,4.0,10.0,Narrated Ma'qil ibn AbuMa'qil al-Asadi: The Messenger of Allah (ﷺ) has forbidden us to face the two qiblahs at the time of urination or excretion.,The hadith narrated by Ma'qil ibn AbuMa'qil al-Asadi reinforces the Prophet Muhammad's (peace be upon him) guidance on toilet etiquette. It specifically prohibits facing either of the two Qiblahs (the original Qiblah of Jerusalem and the current Qiblah of Mecca) during urination or defecation. This instruction demonstrates the Prophet's emphasis on respecting the sanctity of the Qiblah and maintaining a sense of reverence even in personal matters.
